,few_shots_answer,rag_answer,answers,few_shots_time,rag_time
0,Entailment,Entailment,Entailment,1.241465999999491,0.7203119170007994
1,Contradiction,Entailment,Entailment,3.8416687919998367,0.7347097080000822
2,Entailment,Entailment,Entailment,0.9130918750015552,0.7040712500001973
3,Entailment,Entailment,Entailment,0.9183078329988348,0.9278115420001996
4,Entailment,Entailment,Entailment,1.0672294159994635,0.8587071250003646
5,Entailment,Entailment,Entailment,1.1497512089990778,0.9797158750006928
6,Entailment,Entailment,Entailment,1.1129391250015033,0.7769947909982875
7,Entailment,Entailment,Entailment,1.0095154999999068,0.7008076660004008
8,Entailment,Entailment,Entailment,0.9658438749993364,0.6888447500004986
9,Entailment,Entailment,Entailment,1.037652999999409,0.733334582999305
10,Entailment,Entailment,Entailment,0.9669785000005504,0.8964333750009246
11,Contradiction,Entailment,Entailment,1.0785247500007245,0.6834760829988227
12,Contradiction,Entailment,Entailment,0.9888375830014412,0.7713436249996448
13,Entailment,Entailment,Entailment,0.9659774579995428,0.725377208998907
14,Entailment,Entailment,Entailment,0.9018388749991572,0.7971243749998393
15,Entailment,Entailment,Entailment,1.103715083001589,0.7427344159950735
16,Entailment,Entailment,Entailment,1.0818652089947136,0.7542204159981338
17,Entailment,Entailment,Entailment,1.0921681670006365,0.7197462920012185
18,Entailment,Entailment,Entailment,1.27438183400227,3.9758225420009694
19,Entailment,Entailment,Entailment,0.9999034160009614,1.1892092910002248
20,Contradiction,Contradiction,Contradiction,1.067108625000401,0.8681213329982711
21,Contradicted,Contradiction,Contradiction,1.1112059580009372,0.8557690840007126
22,Entailment,Entailment,Entailment,0.9145458749990212,0.882905791999292
23,Entailment,Entailment,Entailment,1.0370337910007947,0.9038773749998654
24,Entailment,Entailment,Entailment,0.929131957998834,0.7942071670004225
25,Contradiction,Entailment,Entailment,1.0494612920010695,0.6979414589986845
26,Entailment,Entailment,Entailment,1.1231701249998878,0.782205083000008
27,Contradicted,Contradiction,Contradiction,1.21744679099902,0.8610770840004989
28,Entailment,Entailment,Entailment,1.1161722080014442,0.8651392920000944
29,Entailment,Entailment,Entailment,0.9570619580008496,0.7571885420002218
30,Entailment,Entailment,Entailment,1.0452905420006573,0.7456562079987634
31,Entailment,Entailment,Entailment,1.0241681250008696,0.6386251660005655
32,Entailment,Entailment,Entailment,1.0466569159998471,0.7158341670001391
33,Entailment,Entailment,Entailment,1.1853619169996819,0.6667080839979462
34,Entailment,Entailment,Entailment,1.142936832999112,0.7378695840016007
35,Entailment,Entailment,Entailment,1.11015920900536,0.7459847920035827
36,Entailment,Entailment,Entailment,1.2825512910058023,3.7288472079999337
37,Contradicted,Contradiction,Contradiction,1.118587540999215,0.7829171250014042
38,Entailment,Entailment,Entailment,1.1399441249996016,0.965349583000716
39,Entailment,Entailment,Entailment,1.009097959000428,0.737213291999069
40,Entailment,Entailment,Entailment,1.0333955000005517,0.9359564170008524
41,Entailment,"Based on the provided text, the hypothesis ""Confidential Information may include verbally conveyed information"" is entailed. The definition of Confidential Information in the agreement explicitly states that it ""means any confidential information, documentation or data of whatever nature relating to a Party or its subsidiaries which may have been or which may be obtained by or disclosed to the other Party during the course of its relationship with such Party, whether in writing, in electronic form or pursuant to discussions"". This indicates that Confidential Information can include information conveyed verbally during discussions.

Entailment",Entailment,1.0208492500005375,1.4767181250008434
42,Entailment,Entailment,Entailment,0.916595041999244,0.7426541659988288
43,Entailment,Entailment,Entailment,1.035067124999841,0.8819354580009531
